model,step,nll
tanh,1.0,0.43122216668121593
tanh,40.0,0.1436899481649403
tanh,80.0,0.10194671935586985
tanh,120.0,0.06908750042021011
tanh,160.0,0.06769840085276344
tanh,200.0,0.0703918638148668
tanh,240.0,0.06728690413259643
tanh,280.0,0.06706148055699059
tanh,320.0,0.06753067754100732
tanh,360.0,0.06749126729737398
tanh,400.0,0.06705880443740844
tanh,440.0,0.06719208538517407
tanh,480.0,0.06764988050657054
tanh,520.0,0.06752405413166596
tanh,560.0,0.06707939814883446
tanh,600.0,0.06710866981805505
tanh,640.0,0.06721038260060548
tanh,680.0,0.06807810711658784
tanh,720.0,0.06731277854246549
tanh,760.0,0.06716868739933408
tanh,800.0,0.06718802774614806
tanh,840.0,0.06902230932076085
tanh,880.0,0.06767957239698316
tanh,920.0,0.06679990193147022
tanh,960.0,0.06865849060775978
tanh,1000.0,0.06685886227062682
tanh,1040.0,0.06788147775671842
tanh,1080.0,0.06721926292157689
tanh,1120.0,0.06703544915023554
tanh,1160.0,0.06684533678235666
tanh,1200.0,0.06734153087963203
tanh,1240.0,0.0672374366545344
tanh,1280.0,0.0673379398563585
tanh,1320.0,0.06734142739836507
tanh,1360.0,0.06827387115752552
tanh,1400.0,0.06698353544931697
tanh,1440.0,0.06753915626003003
tanh,1480.0,0.06732656514341985
tanh,1520.0,0.06746164230946253
tanh,1560.0,0.0671162926583712
tanh,1600.0,0.06690592749175558
tanh,1640.0,0.06690482054385057
tanh,1680.0,0.06746804435274509
tanh,1720.0,0.06698845911326322
tanh,1760.0,0.0670742616400057
tanh,1800.0,0.06687923376955512
tanh,1840.0,0.06729966969505556
tanh,1880.0,0.06722692453843969
tanh,1920.0,0.06685341963830142
tanh,1960.0,0.06797064952812717
tanh,2000.0,0.06681704534996888
tanh,2040.0,0.06700716679794197
tanh,2080.0,0.06762286237258736
tanh,2120.0,0.06715560541643874
tanh,2160.0,0.0669556472314405
tanh,2200.0,0.06687735732904489
tanh,2240.0,0.06721211578632291
tanh,2280.0,0.06675051826980281
tanh,2320.0,0.06691842938366645
tanh,2360.0,0.06735891651485694
tanh,2400.0,0.06682387893617456
softplus,1.0,0.4661716203719748
softplus,40.0,0.30445593040315355
softplus,80.0,0.15321899580052592
softplus,120.0,0.11843579984348915
softplus,160.0,0.10792720003829065
softplus,200.0,0.09901463494335366
softplus,240.0,0.08880569869388477
softplus,280.0,0.07750930814700027
softplus,320.0,0.07161172073270959
softplus,360.0,0.06957226513993017
softplus,400.0,0.06951010330291219
softplus,440.0,0.06774857720780726
softplus,480.0,0.067451196645003
softplus,520.0,0.06788637768220392
softplus,560.0,0.06739489341148713
softplus,600.0,0.06729870681594989
softplus,640.0,0.0700505755873063
softplus,680.0,0.06713237981674613
softplus,720.0,0.06711639433957947
softplus,760.0,0.06715467007471519
softplus,800.0,0.06776530441248821
softplus,840.0,0.06730660677825341
softplus,880.0,0.06852774601792788
softplus,920.0,0.06724288374404444
softplus,960.0,0.06733565724097461
softplus,1000.0,0.06709917329080142
softplus,1040.0,0.06699419963046756
softplus,1080.0,0.06728355880927178
softplus,1120.0,0.06775836435640258
softplus,1160.0,0.06713586925695882
softplus,1200.0,0.06775696544502774
softplus,1240.0,0.06682744291004517
softplus,1280.0,0.06709422584941445
softplus,1320.0,0.06724035710349185
softplus,1360.0,0.068890633503498
softplus,1400.0,0.06751557402667796
softplus,1440.0,0.06821759913166324
softplus,1480.0,0.06721131714069817
softplus,1520.0,0.06759214268236702
softplus,1560.0,0.0670931797602201
softplus,1600.0,0.06721078244903365
softplus,1640.0,0.06697949298500509
softplus,1680.0,0.06675737695476314
softplus,1720.0,0.06694153144145125
softplus,1760.0,0.06730719037196259
softplus,1800.0,0.06698519617043204
softplus,1840.0,0.06703164242208624
softplus,1880.0,0.06711293723014125
softplus,1920.0,0.06749509353814231
softplus,1960.0,0.06711566901733178
softplus,2000.0,0.06708089982688709
softplus,2040.0,0.06704255145822276
softplus,2080.0,0.06705198336287732
softplus,2120.0,0.06691522443804836
softplus,2160.0,0.06696084456434746
softplus,2200.0,0.06701402671738324
softplus,2240.0,0.06693796041781035
softplus,2280.0,0.0669212287192955
softplus,2320.0,0.06729272475060422
softplus,2360.0,0.06711540126722
softplus,2400.0,0.06709172929015257
relu,1.0,0.506790318378453
relu,40.0,0.08654553320676335
relu,80.0,0.06977555566830608
relu,120.0,0.06777375608468594
relu,160.0,0.06721804412132623
relu,200.0,0.06694436884052152
relu,240.0,0.06777519894541784
relu,280.0,0.06705769651655842
relu,320.0,0.06734635302583923
relu,360.0,0.0671236804807777
relu,400.0,0.06657415429732734
relu,440.0,0.06664030741538766
relu,480.0,0.0669707885618182
relu,520.0,0.06642017966550494
relu,560.0,0.0665628211713008
relu,600.0,0.06691618999545051
relu,640.0,0.06641243874031305
relu,680.0,0.06630352522046903
relu,720.0,0.06670645834020628
relu,760.0,0.06644300933852745
relu,800.0,0.06719781656529654
relu,840.0,0.06644955537803572
relu,880.0,0.06665210555734277
relu,920.0,0.0677087395278242
relu,960.0,0.06667816095452708
relu,1000.0,0.06625397361870566
relu,1040.0,0.06632234734253312
relu,1080.0,0.06672718527150179
relu,1120.0,0.06650467522656116
relu,1160.0,0.0664261845802767
relu,1200.0,0.06633328834791381
relu,1240.0,0.06649402342592761
relu,1280.0,0.06698329903950838
relu,1320.0,0.06682553123835797
relu,1360.0,0.06627095422200971
relu,1400.0,0.066573742741586
relu,1440.0,0.0664108973919259
relu,1480.0,0.06647531549154095
relu,1520.0,0.06649917071307068
relu,1560.0,0.06694304937938102
relu,1600.0,0.06627280689071718
relu,1640.0,0.06663789546069729
relu,1680.0,0.06671569118281445
relu,1720.0,0.06618173682419513
relu,1760.0,0.06630126468690464
relu,1800.0,0.06637918496336077
relu,1840.0,0.06647091234376945
relu,1880.0,0.06713878106491782
relu,1920.0,0.06629688415600703
relu,1960.0,0.06613481836401622
relu,2000.0,0.06661524377790728
relu,2040.0,0.06621574506870412
relu,2080.0,0.06648760424507723
relu,2120.0,0.0670976060635094
relu,2160.0,0.06616971063505066
relu,2200.0,0.0658912081309821
relu,2240.0,0.06688595381658094
relu,2280.0,0.06622913496593366
relu,2320.0,0.06592858041824655
relu,2360.0,0.0664149842489803
relu,2400.0,0.06700691696935557
