trial,model,label,test_nll,parameter_rmse,metric_relative_error,metric_relative_median,curvature_mae,curvature_median_ae,geodesic_rmse,global_w2_rmse,flat_rmse,surface_rmse
0.0,oracle,Oracle decoder,nan,0.0,0.0,0.0,0.0,0.0,0.014578864541622263,0.3484829381642968,0.8176662380258467,2.8521566584220313e-15
0.0,tanh,Tanh (smooth),0.07319633081792715,0.009945975534918487,0.07237453065617434,0.06497196729297708,0.13175424183748913,0.09330294909575426,0.01753980938791244,0.3544910437334162,0.8176662380258467,0.018121406811026346
0.0,softplus,Softplus (smooth),0.07360832773935717,0.017689067762090033,0.06856747485149654,0.06368498466831099,0.1652931682497553,0.10891060187410362,0.02401581110706457,0.3557893346545247,0.8176662380258467,0.024414843340192845
0.0,relu,ReLU (piecewise affine),0.07466803083181991,0.02146820523188115,0.32507508900428517,0.283162791534014,1.0,1.0,0.03841451878614054,0.3551622392147327,0.8176662380258467,0.034315955769265646
1.0,oracle,Oracle decoder,nan,0.0,0.0,0.0,0.0,0.0,0.01580461386376899,0.35785622787484966,0.8246600649108456,2.8521566584220313e-15
1.0,tanh,Tanh (smooth),0.06752180007585747,0.01288209795115233,0.06842038619438488,0.05491353337514476,0.1495641750219494,0.1209472002349739,0.02407900644812305,0.3580053998865378,0.8246600649108456,0.018511225248079282
1.0,softplus,Softplus (smooth),0.06738941299394496,0.017203442358229085,0.09907495427737674,0.08294079703099894,0.2201404128842127,0.1510276520447621,0.03467849475074208,0.3488964277839609,0.8246600649108456,0.03318934505579543
1.0,relu,ReLU (piecewise affine),0.06807927047448936,0.018187389969602574,0.31617302108990025,0.2715189518672827,1.0,1.0,0.041138468184513055,0.3670740075228691,0.8246600649108456,0.0348731623419948
2.0,oracle,Oracle decoder,nan,0.0,0.0,0.0,0.0,0.0,0.014183553091665045,0.3515307591268255,0.8508670250529468,2.8521566584220313e-15
2.0,tanh,Tanh (smooth),0.07349489742378287,0.01391683706905522,0.07071020595329866,0.06800191443088491,0.14965212933009478,0.10260331339148676,0.020178560613831033,0.35530025131935716,0.8508670250529468,0.022014694852058692
2.0,softplus,Softplus (smooth),0.07336490131447788,0.015152312420302714,0.08207715475125253,0.06897715497768647,0.3326832908045771,0.15920562965785828,0.028339121021505726,0.3519769604845898,0.8508670250529468,0.023803926803901615
2.0,relu,ReLU (piecewise affine),0.07415389377652798,0.019713519533314548,0.3037635074380075,0.26212342925123777,1.0,1.0,0.03195944571976553,0.36230615105774916,0.8508670250529468,0.033958683918890925
3.0,oracle,Oracle decoder,nan,0.0,0.0,0.0,0.0,0.0,0.015357879518761684,0.37321074230934353,0.9016693119706067,2.8521566584220313e-15
3.0,tanh,Tanh (smooth),0.06809551224470312,0.012226969936461591,0.08847573762160604,0.08283005851551575,0.1519840982309829,0.1283790540092009,0.023555047700111877,0.3842225667701271,0.9016693119706067,0.023527333512529572
3.0,softplus,Softplus (smooth),0.06851145492049777,0.013897065174228333,0.0973465087090215,0.08210678895265357,0.3431575822899438,0.2451414893652512,0.02606677155537512,0.3770270185939994,0.9016693119706067,0.024090719841460193
3.0,relu,ReLU (piecewise affine),0.06879891262010095,0.022119952092534447,0.3107384243947563,0.25902731584752003,1.0,1.0,0.041439915593193856,0.3839141229730829,0.9016693119706067,0.038962454067221236
4.0,oracle,Oracle decoder,nan,0.0,0.0,0.0,0.0,0.0,0.014077953910826665,0.35931342796903704,0.8759335594733714,2.8521566584220313e-15
4.0,tanh,Tanh (smooth),0.07172872040841241,0.012313053561170193,0.07529563081086764,0.07184116589402789,0.11518518269411927,0.09068655920646573,0.02106702252784087,0.35764408323889,0.8759335594733714,0.022653943098993858
4.0,softplus,Softplus (smooth),0.07151464224876196,0.016283781860808897,0.09189307327485949,0.08288163076534462,0.23865022149712278,0.1585151444005526,0.030277240213744894,0.35397038427689553,0.8759335594733714,0.021768351544283675
4.0,relu,ReLU (piecewise affine),0.07180086516521274,0.01824156735676838,0.35466256297987797,0.3053382337218666,1.0,1.0,0.05474027694847236,0.3405431096956091,0.8759335594733714,0.037834601283558575
