shape,relative_edge_noise,seed,stage,alpha,edge_stress,convexity_penalty,local_convex_max_signed
sphere,0.0,0.0,0.0,0.0,3.11726642423748e-33,0.0,-0.07013613906797866
sphere,0.0,0.0,1.0,0.025,1.0755263462913825e-10,0.0,-0.07012162569504138
sphere,0.0,0.0,2.0,0.05,3.667078686202614e-10,0.0,-0.07010733854048765
sphere,0.0,0.0,3.0,0.07500000000000001,7.419489133274976e-10,0.0,-0.07009731275916871
sphere,0.0,0.0,4.0,0.1,1.1428505107632489e-09,0.0,-0.07008530461774928
sphere,0.0,0.0,5.0,0.125,1.4735546345311185e-09,0.0,-0.07008251541414777
sphere,0.0,0.0,6.0,0.15000000000000002,1.8182128524923357e-09,0.0,-0.07007949746905703
sphere,0.0,0.0,7.0,0.17500000000000002,2.0939759878052416e-09,0.0,-0.07007709026900956
sphere,0.0,0.0,8.0,0.2,2.4208376150798667e-09,0.0,-0.07007565364530116
sphere,0.0,0.0,9.0,0.225,2.5047861382366554e-09,0.0,-0.07005781830388241
sphere,0.0,0.0,10.0,0.25,2.764531699640801e-09,0.0,-0.07006805264510618
sphere,0.0,0.0,11.0,0.275,3.2550353821426807e-09,0.0,-0.07006660794464357
sphere,0.0,0.0,12.0,0.30000000000000004,3.7462905863611575e-09,0.0,-0.07007405814607366
sphere,0.0,0.0,13.0,0.325,4.159732581498029e-09,0.0,-0.07007653737707566
sphere,0.0,0.0,14.0,0.35000000000000003,3.568776711084201e-11,0.0,-0.07015495768956855
sphere,0.0,0.0,15.0,0.375,1.6661846073355548e-10,0.0,-0.07015752243484429
sphere,0.0,0.0,16.0,0.4,4.738364415151786e-10,0.0,-0.07016096889057032
sphere,0.0,0.0,17.0,0.42500000000000004,9.631855971443572e-10,0.0,-0.07016336095803964
sphere,0.0,0.0,18.0,0.45,1.5166876759921655e-09,0.0,-0.07017081638232961
sphere,0.0,0.0,19.0,0.47500000000000003,1.91964686860205e-09,0.0,-0.07017916552143548
sphere,0.0,0.0,20.0,0.5,2.3096740339042452e-09,0.0,-0.07012430653249747
sphere,0.0,0.0,21.0,0.525,2.783152076529284e-09,0.0,-0.07001980400383616
sphere,0.0,0.0,22.0,0.55,2.8709620473720695e-09,0.0,-0.0699160263224707
sphere,0.0,0.0,23.0,0.5750000000000001,2.68364522281593e-11,0.0,-0.06990548274363276
sphere,0.0,0.0,24.0,0.6000000000000001,1.8029465417909772e-10,0.0,-0.0698027391543085
sphere,0.0,0.0,25.0,0.625,5.848712699774891e-10,0.0,-0.06969910549210356
sphere,0.0,0.0,26.0,0.65,1.1545856348048372e-09,0.0,-0.06959755847928648
sphere,0.0,0.0,27.0,0.675,1.720568448163647e-09,0.0,-0.06949956741891515
sphere,0.0,0.0,28.0,0.7000000000000001,2.2556421171374267e-09,0.0,-0.06940028011299741
sphere,0.0,0.0,29.0,0.7250000000000001,2.6725843013303525e-09,0.0,-0.06931647411654604
sphere,0.0,0.0,30.0,0.75,3.4224991657120296e-09,0.0,-0.06921802874468858
sphere,0.0,0.0,31.0,0.775,3.88143487765477e-09,0.0,-0.06913338280500714
sphere,0.0,0.0,32.0,0.8,4.466752708946624e-09,0.0,-0.0690254448325098
sphere,0.0,0.0,33.0,0.8250000000000001,4.765695260486721e-09,0.0,-0.06895674270022556
sphere,0.0,0.0,34.0,0.8500000000000001,4.420347949738139e-09,0.0,-0.06886174205566448
sphere,0.0,0.0,35.0,0.875,5.124690244145456e-09,0.0,-0.0687949203625281
sphere,0.0,0.0,36.0,0.9,5.467378717671008e-09,0.0,-0.06870549008558087
sphere,0.0,0.0,37.0,0.925,6.087671788671235e-09,0.0,-0.06863673074854486
sphere,0.0,0.0,38.0,0.9500000000000001,6.676017200628884e-09,0.0,-0.06855458926573334
sphere,0.0,0.0,39.0,0.9750000000000001,6.637877804464674e-09,0.0,-0.06846873502448829
sphere,0.0,0.0,40.0,1.0,5.637342404060518e-11,0.0,-0.06851673563514236
sphere,0.005,0.0,0.0,0.0,2.4644742795186515e-33,0.0,-0.06818482060482939
sphere,0.005,0.0,1.0,0.025,3.4180887803600433e-11,0.0,-0.06801097391882467
sphere,0.005,0.0,2.0,0.05,1.0690418058595524e-10,0.0,-0.06783967282777643
