shape,relative_edge_noise,seed,vertices,faces,edges,free_coordinates_after_e3_fix,active_edge_residuals,w2_chord_max_abs_error,gaussian_covariance_minimum_eigenvalue,noncommuting_covariance_edge_fraction,oracle_covariance_parameter_scale,oracle_scaled_raw_parameter_distance_relative_rmse,initializer_e3_rmse,final_e3_rmse,rigidity_rank,rigidity_expected_rank,rigidity_smallest_nonzero_singular_value,edge_noise_l2,aligned_frobenius_error,local_rigidity_bound,error_to_bound_ratio,local_bound_satisfied_with_tolerance,local_bound_slack,final_edge_stress,final_edge_relative_rmse,final_edge_max_relative_error,convex_hull_all_vertices,convex_hull_facet_match,same_skeleton_verified,final_uses_radius_constraint,final_uses_row_normalization,hull_vertex_count,hull_facet_count,local_convex_max_signed,least_squares_nfev,continuation_stages,final_radial_standard_deviation
sphere,0.0,0.0,42.0,80.0,120.0,117.0,117.0,1.1102230246251565e-15,1.7537887487646788,0.9,0.17017136055240384,0.011986614009994977,0.04224366436510324,3.25169852075133e-15,120.0,120.0,0.3516038249179104,0.0,2.107341494238578e-14,0.0,nan,True,-2.107341494238578e-14,3.6539258755554637e-32,1.8793219636193246e-16,7.971750874011425e-16,True,True,True,False,False,42.0,80.0,-0.06852838153549201,3.0,41.0,5.622033592561194e-16
sphere,0.005,0.0,42.0,80.0,120.0,117.0,117.0,1.1102230246251565e-15,1.7537887487646788,0.9,0.17017136055240384,0.011986614009994977,0.042907431124353856,0.005827624483673297,120.0,120.0,0.3516038249179104,0.029001003361851362,0.03776732316637963,0.16496409485091512,0.22894268719815378,True,0.1271967716845355,1.564816329208247e-32,1.2298319517261228e-16,4.3217210006674507e-16,True,True,True,False,False,42.0,80.0,-0.06208473280493793,4.0,41.0,0.005011858078368628
sphere,0.005,1.0,42.0,80.0,120.0,117.0,117.0,1.1102230246251565e-15,1.7537887487646788,0.9,0.17017136055240384,0.011986614009994977,0.041693905882219995,0.005961175929377487,120.0,120.0,0.3516038249179104,0.031200384535801765,0.038632835455885986,0.17747465940159313,0.2176808541915094,True,0.13884182394570715,1.4847855481617657e-32,1.1979840279844352e-16,4.048366478930951e-16,True,True,True,False,False,42.0,80.0,-0.06016659698729345,4.0,41.0,0.004784309531394159
sphere,0.005,2.0,42.0,80.0,120.0,117.0,117.0,1.1102230246251565e-15,1.7537887487646788,0.9,0.17017136055240384,0.011986614009994977,0.042644663855888484,0.006250044567828828,120.0,120.0,0.3516038249179104,0.032244432758184886,0.04050491819759125,0.1834134356514071,0.22083942789542585,True,0.14290851745381586,1.93329034544766e-32,1.3670997729286792e-16,3.5654478677699404e-16,True,True,True,False,False,42.0,80.0,-0.06011374943024587,4.0,41.0,0.005165421534157082
sphere,0.01,0.0,42.0,80.0,120.0,117.0,117.0,1.1102230246251565e-15,1.7537887487646788,0.9,0.17017136055240384,0.011986614009994977,0.042805679769859974,0.011731809497037282,120.0,120.0,0.3516038249179104,0.05942655091471862,0.07603081527341736,0.33803131082884574,0.2249224046346221,True,0.26200049555542837,2.2345114888910906e-31,4.648177875117558e-16,2.2367850599681236e-15,True,True,True,False,False,42.0,80.0,-0.062055603625087295,3.0,41.0,0.009877467056508563
sphere,0.01,1.0,42.0,80.0,120.0,117.0,117.0,1.1102230246251565e-15,1.7537887487646788,0.9,0.17017136055240384,0.011986614009994977,0.04188800008985789,0.010203240958351364,120.0,120.0,0.3516038249179104,0.05521184074354401,0.06612455893444971,0.31405711104783585,0.21054947208113972,True,0.24793255211338613,1.6956627658932599e-32,1.280458182772068e-16,3.925361850112577e-16,True,True,True,False,False,42.0,80.0,-0.0528596262393951,4.0,41.0,0.008837825374188346
sphere,0.01,2.0,42.0,80.0,120.0,117.0,117.0,1.1102230246251565e-15,1.7537887487646788,0.9,0.17017136055240384,0.011986614009994977,0.042297400580357476,0.010881615761443962,120.0,120.0,0.3516038249179104,0.06205073147128324,0.07052093012962633,0.35295822783367237,0.19979964927424368,True,0.282437297704046,1.690934229486922e-32,1.278329511367342e-16,3.473835944529075e-16,True,True,True,False,False,42.0,80.0,-0.0631041593757275,4.0,41.0,0.009045460818471154
ellipsoid,0.0,0.0,42.0,80.0,120.0,117.0,117.0,6.661338147750939e-16,2.11248968624677,0.9,0.17049983010381964,0.00662850532348149,0.12697826860464664,2.174747129224206e-15,120.0,120.0,0.28653449224988786,0.0,1.409397222910897e-14,0.0,nan,True,-1.409397222910897e-14,1.693894815721558e-32,1.289288390318388e-16,4.280648148182153e-16,True,True,True,False,False,42.0,80.0,-0.0668452185804902,4.0,41.0,0.1084925474088809
ellipsoid,0.005,0.0,42.0,80.0,120.0,117.0,117.0,6.661338147750939e-16,2.11248968624677,0.9,0.17049983010381964,0.00662850532348149,0.12719633303342592,0.0068406387593811496,120.0,120.0,0.28653449224988786,0.031834439668368915,0.04433240601102767,0.2222031938870799,0.19951291084302183,True,0.17787078787605223,1.5888127740507504e-32,1.248707956175427e-16,3.5645717347941567e-16,True,True,True,False,False,42.0,80.0,-0.05205430813058372,4.0,41.0,0.10768672743136547
ellipsoid,0.005,1.0,42.0,80.0,120.0,117.0,117.0,6.661338147750939e-16,2.11248968624677,0.9,0.17049983010381964,0.00662850532348149,0.12668468511560757,0.008601661521241229,120.0,120.0,0.28653449224988786,0.03787090554280069,0.0557451378946369,0.2643374990943382,0.21088622721191091,True,0.2085923611997013,1.4975068902839037e-32,1.2123955796498206e-16,3.4810840336403387e-16,True,True,True,False,False,42.0,80.0,-0.032556204857393765,4.0,41.0,0.10857891351569537
