experiment,method,selected_seed,step,objective
controlled,scaled_latent_2d,0,0,0.0082752434335627532
controlled,scaled_latent_2d,0,10,0.005469032637672875
controlled,scaled_latent_2d,0,20,0.0054081471143242812
controlled,scaled_latent_2d,0,30,0.0054073214023625943
controlled,scaled_latent_2d,0,40,0.0054148401358477738
controlled,scaled_latent_2d,0,50,0.0054133363791250989
controlled,scaled_latent_2d,0,60,0.0054062907156580521
controlled,scaled_latent_2d,0,70,0.0054045875817331657
controlled,scaled_latent_2d,0,80,0.0054049448228806361
controlled,scaled_latent_2d,0,90,0.0054045280241386369
controlled,scaled_latent_2d,0,100,0.0054045659363352551
controlled,scaled_latent_2d,0,110,0.0054045174892579026
controlled,scaled_latent_2d,0,120,0.0054045232485167025
controlled,scaled_latent_2d,0,130,0.005404516284150159
controlled,scaled_latent_2d,0,140,0.005404516724525711
controlled,scaled_latent_2d,0,150,0.0054045164174168908
controlled,scaled_latent_2d,0,160,0.005404516151241847
controlled,scaled_latent_2d,0,170,0.0054045161622886398
controlled,scaled_latent_2d,0,180,0.0054045161609154206
controlled,scaled_latent_2d,0,190,0.0054045161504051708
controlled,scaled_latent_2d,0,200,0.005404516147029954
controlled,scaled_latent_2d,0,210,0.0054045161467597917
controlled,scaled_latent_2d,0,220,0.0054045161468152299
controlled,scaled_latent_2d,0,230,0.0054045161468021068
controlled,scaled_latent_2d,0,240,0.0054045161467756583
controlled,scaled_latent_2d,0,250,0.0054045161467605202
controlled,scaled_latent_2d,0,260,0.0054045161467542405
controlled,scaled_latent_2d,0,270,0.0054045161467519542
controlled,scaled_latent_2d,0,280,0.0054045161467511614
controlled,scaled_latent_2d,0,290,0.0054045161467508812
controlled,scaled_latent_2d,0,300,0.0054045161467507824
controlled,scaled_latent_2d,0,310,0.0054045161467507459
controlled,scaled_latent_2d,0,320,0.0054045161467507338
controlled,scaled_latent_2d,0,330,0.0054045161467507277
controlled,scaled_latent_2d,0,340,0.0054045161467507277
controlled,scaled_latent_2d,0,350,0.0054045161467507277
controlled,scaled_latent_2d,0,360,0.0054045161467507277
controlled,scaled_latent_2d,0,370,0.0054045161467507295
controlled,scaled_latent_2d,0,380,0.0054045161467507295
controlled,scaled_latent_2d,0,390,0.0054045161467507286
controlled,scaled_latent_2d,0,400,0.0054045161467507295
controlled,scaled_latent_2d,0,410,0.0054045161467507277
controlled,scaled_latent_2d,0,420,0.0054045161467507286
controlled,scaled_latent_2d,0,430,0.0054045161467507277
controlled,scaled_latent_2d,0,440,0.0054045161467507277
controlled,scaled_latent_2d,0,450,0.0054045161467507269
controlled,scaled_latent_2d,0,460,0.0054045161467507295
controlled,scaled_latent_2d,0,470,0.0054045161467507277
controlled,scaled_latent_2d,0,480,0.0054045161467507286
controlled,scaled_latent_2d,0,490,0.0054045161467507295
controlled,scaled_latent_2d,0,500,0.0054045161467507277
controlled,scaled_latent_2d,0,510,0.0054045161467507286
controlled,scaled_latent_2d,0,520,0.0054045161467507277
controlled,scaled_latent_2d,0,530,0.0054045161467507277
controlled,scaled_latent_2d,0,540,0.0054045161467507295
controlled,scaled_latent_2d,0,550,0.0054045161467507277
controlled,scaled_latent_2d,0,560,0.0054045161467507277
controlled,scaled_latent_2d,0,570,0.0054045161467507277
controlled,scaled_latent_2d,0,580,0.0054045161467507277
controlled,scaled_latent_2d,0,590,0.0054045161467507251
controlled,scaled_latent_2d,0,600,0.0054045161467507277
controlled,scaled_latent_2d,0,610,0.0054045161467507295
controlled,scaled_latent_2d,0,620,0.0054045161467507277
controlled,scaled_latent_2d,0,630,0.0054045161467507269
controlled,scaled_latent_2d,0,640,0.0054045161467507277
controlled,scaled_latent_2d,0,650,0.0054045161467507277
controlled,scaled_latent_2d,0,660,0.0054045161467507269
controlled,scaled_latent_2d,0,670,0.0054045161467507269
controlled,scaled_latent_2d,0,680,0.0054045161467507269
controlled,scaled_latent_2d,0,690,0.0054045161467507269
controlled,scaled_latent_2d,0,700,0.0054045161467507277
controlled,scaled_latent_2d,0,710,0.0054045161467507269
controlled,scaled_latent_2d,0,720,0.0054045161467507277
controlled,scaled_latent_2d,0,730,0.0054045161467507269
controlled,scaled_latent_2d,0,740,0.0054045161467507277
controlled,scaled_latent_2d,0,750,0.0054045161467507269
controlled,scaled_latent_2d,0,760,0.0054045161467507277
controlled,scaled_latent_2d,0,770,0.0054045161467507269
controlled,scaled_latent_2d,0,780,0.0054045161467507277
controlled,scaled_latent_2d,0,790,0.0054045161467507269
controlled,scaled_latent_2d,0,800,0.0054045161467507277
controlled,scaled_latent_2d,0,810,0.0054045161467507269
controlled,scaled_latent_2d,0,820,0.0054045161467507277
controlled,scaled_latent_2d,0,830,0.0054045161467507269
controlled,scaled_latent_2d,0,840,0.0054045161467507277
controlled,scaled_latent_2d,0,850,0.0054045161467507269
controlled,scaled_latent_2d,0,860,0.0054045161467507277
controlled,scaled_latent_2d,0,870,0.0054045161467507269
controlled,scaled_latent_2d,0,880,0.0054045161467507277
controlled,scaled_latent_2d,0,890,0.0054045161467507269
controlled,scaled_latent_2d,0,899,0.0054045161467507277
controlled,scaled_latent_2d,0,900,0.0054045161467507251
controlled,scaled_latent_2d,0,901,0.0054045161467507251
controlled,height_field_3d,1,0,0.070669291264385703
controlled,height_field_3d,1,10,0.0077083138869431566
controlled,height_field_3d,1,20,0.004705664261849778
controlled,height_field_3d,1,30,0.0031095460361494926
controlled,height_field_3d,1,40,0.0023194207837392107
controlled,height_field_3d,1,50,0.0019155334278859867
controlled,height_field_3d,1,60,0.0016424355957902546
controlled,height_field_3d,1,70,0.0013750961748453328
controlled,height_field_3d,1,80,0.0011203455400618863
controlled,height_field_3d,1,90,0.00088122991262610075
controlled,height_field_3d,1,100,0.00068402984779950221
controlled,height_field_3d,1,110,0.00049360246749494184
controlled,height_field_3d,1,120,0.000359665326222886
controlled,height_field_3d,1,130,0.00025951088458142061
controlled,height_field_3d,1,140,0.00019096826527272085
controlled,height_field_3d,1,150,0.00014329558652769457
controlled,height_field_3d,1,160,0.00010434559287454489
controlled,height_field_3d,1,170,7.5976653195858194e-05
controlled,height_field_3d,1,180,5.6312798549891447e-05
controlled,height_field_3d,1,190,4.3863494283009952e-05
controlled,height_field_3d,1,200,3.8349406064746438e-05
controlled,height_field_3d,1,210,3.4799358618851883e-05
controlled,height_field_3d,1,220,3.2174133261327456e-05
controlled,height_field_3d,1,230,2.9730595013512868e-05
