teacher,method,repeat,width,step,value_loss,jacobian_loss,objective
plain,value,0,4,1.0,0.31961047470001197,0.0,0.31961047470001197
plain,value,0,4,100.0,0.1222995812632315,0.0,0.1222995812632315
plain,value,0,4,200.0,0.08030014859945307,0.0,0.08030014859945307
plain,value,0,4,300.0,0.06772025523604984,0.0,0.06772025523604984
plain,value,0,4,400.0,0.044450588280453396,0.0,0.044450588280453396
plain,value,0,4,500.0,0.005437695841848025,0.0,0.005437695841848025
plain,value,0,4,600.0,0.0037169633925655692,0.0,0.0037169633925655692
plain,value,0,4,700.0,0.002523255244218979,0.0,0.002523255244218979
plain,value,0,4,800.0,0.0022668529038327957,0.0,0.0022668529038327957
plain,value,0,4,900.0,0.0018010625518876486,0.0,0.0018010625518876486
plain,value,0,4,1000.0,0.0016438829795154878,0.0,0.0016438829795154878
plain,value,0,4,1100.0,0.0013717242746425033,0.0,0.0013717242746425033
plain,value,0,4,1200.0,0.0012368567077061094,0.0,0.0012368567077061094
plain,value,0,4,1300.0,0.001061826551965812,0.0,0.001061826551965812
plain,value,0,4,1400.0,0.0009312004139863066,0.0,0.0009312004139863066
plain,value,0,4,1500.0,0.0008448163318036155,0.0,0.0008448163318036155
plain,value,0,4,1600.0,0.0008325672588468501,0.0,0.0008325672588468501
plain,value,0,4,1700.0,0.000762749118302681,0.0,0.000762749118302681
plain,value,0,4,1800.0,0.0007240461814010966,0.0,0.0007240461814010966
plain,value,0,4,1900.0,0.0006930798098303305,0.0,0.0006930798098303305
plain,value,0,4,2000.0,0.0006048289000276517,0.0,0.0006048289000276517
plain,value,0,4,2100.0,0.0006685188267646708,0.0,0.0006685188267646708
plain,value,0,4,2200.0,0.0006251618804537207,0.0,0.0006251618804537207
plain,value,0,4,2300.0,0.0006552098717759777,0.0,0.0006552098717759777
plain,value,0,4,2400.0,0.0006142371948572,0.0,0.0006142371948572
plain,value,0,4,2500.0,0.0006484069309739442,0.0,0.0006484069309739442
plain,value,0,8,1.0,0.27661078925887966,0.0,0.27661078925887966
plain,value,0,8,100.0,0.0039095554536535,0.0,0.0039095554536535
plain,value,0,8,200.0,0.0014663601199024253,0.0,0.0014663601199024253
plain,value,0,8,300.0,0.0010088186293267987,0.0,0.0010088186293267987
plain,value,0,8,400.0,0.000658844910788877,0.0,0.000658844910788877
plain,value,0,8,500.0,0.00046771469805507066,0.0,0.00046771469805507066
plain,value,0,8,600.0,0.0003838216035156275,0.0,0.0003838216035156275
plain,value,0,8,700.0,0.00031588301993905283,0.0,0.00031588301993905283
plain,value,0,8,800.0,0.0002499680955317168,0.0,0.0002499680955317168
plain,value,0,8,900.0,0.0002197474179295113,0.0,0.0002197474179295113
plain,value,0,8,1000.0,0.0001959026419463846,0.0,0.0001959026419463846
plain,value,0,8,1100.0,0.00017469157753331418,0.0,0.00017469157753331418
plain,value,0,8,1200.0,0.00014671391740823508,0.0,0.00014671391740823508
plain,value,0,8,1300.0,0.00013635783323833825,0.0,0.00013635783323833825
plain,value,0,8,1400.0,0.00012473569423657714,0.0,0.00012473569423657714
plain,value,0,8,1500.0,0.00011169839833541947,0.0,0.00011169839833541947
plain,value,0,8,1600.0,0.0001103519517659322,0.0,0.0001103519517659322
plain,value,0,8,1700.0,9.600332936103092e-05,0.0,9.600332936103092e-05
plain,value,0,8,1800.0,9.537036333533463e-05,0.0,9.537036333533463e-05
plain,value,0,8,1900.0,8.668875139121927e-05,0.0,8.668875139121927e-05
plain,value,0,8,2000.0,8.565337710840993e-05,0.0,8.565337710840993e-05
plain,value,0,8,2100.0,8.031843891294383e-05,0.0,8.031843891294383e-05
plain,value,0,8,2200.0,8.029770050407122e-05,0.0,8.029770050407122e-05
plain,value,0,8,2300.0,7.907117782391028e-05,0.0,7.907117782391028e-05
plain,value,0,8,2400.0,7.678201799350152e-05,0.0,7.678201799350152e-05
plain,value,0,8,2500.0,7.026805663609731e-05,0.0,7.026805663609731e-05
plain,value,0,16,1.0,0.30013129745426176,0.0,0.30013129745426176
plain,value,0,16,100.0,0.0014115287407255879,0.0,0.0014115287407255879
plain,value,0,16,200.0,0.0007843365984834947,0.0,0.0007843365984834947
plain,value,0,16,300.0,0.00047533875325755925,0.0,0.00047533875325755925
plain,value,0,16,400.0,0.00028762538561211533,0.0,0.00028762538561211533
plain,value,0,16,500.0,0.0001957329364130474,0.0,0.0001957329364130474
plain,value,0,16,600.0,0.0001359039047504044,0.0,0.0001359039047504044
plain,value,0,16,700.0,0.00010348011800131947,0.0,0.00010348011800131947
plain,value,0,16,800.0,7.483399475016285e-05,0.0,7.483399475016285e-05
plain,value,0,16,900.0,6.237132950133479e-05,0.0,6.237132950133479e-05
plain,value,0,16,1000.0,5.124872507404813e-05,0.0,5.124872507404813e-05
plain,value,0,16,1100.0,4.4198713717566e-05,0.0,4.4198713717566e-05
plain,value,0,16,1200.0,3.837377375945755e-05,0.0,3.837377375945755e-05
plain,value,0,16,1300.0,3.3425879091368235e-05,0.0,3.3425879091368235e-05
plain,value,0,16,1400.0,2.98191868413357e-05,0.0,2.98191868413357e-05
plain,value,0,16,1500.0,2.8467479382923393e-05,0.0,2.8467479382923393e-05
plain,value,0,16,1600.0,2.572494042257622e-05,0.0,2.572494042257622e-05
plain,value,0,16,1700.0,2.4625677054607354e-05,0.0,2.4625677054607354e-05
plain,value,0,16,1800.0,2.3021406352843866e-05,0.0,2.3021406352843866e-05
plain,value,0,16,1900.0,2.1818781234025225e-05,0.0,2.1818781234025225e-05
plain,value,0,16,2000.0,2.0882555170142487e-05,0.0,2.0882555170142487e-05
plain,value,0,16,2100.0,1.9916293315672685e-05,0.0,1.9916293315672685e-05
plain,value,0,16,2200.0,1.943443065206634e-05,0.0,1.943443065206634e-05
plain,value,0,16,2300.0,1.922986575887615e-05,0.0,1.922986575887615e-05
plain,value,0,16,2400.0,1.9355069029010095e-05,0.0,1.9355069029010095e-05
plain,value,0,16,2500.0,1.954960984592436e-05,0.0,1.954960984592436e-05
plain,value,0,32,1.0,0.23649546414614905,0.0,0.23649546414614905
plain,value,0,32,100.0,0.0004166875398693212,0.0,0.0004166875398693212
plain,value,0,32,200.0,0.00020261057359550363,0.0,0.00020261057359550363
plain,value,0,32,300.0,0.00011124089935607986,0.0,0.00011124089935607986
plain,value,0,32,400.0,6.844750704507292e-05,0.0,6.844750704507292e-05
plain,value,0,32,500.0,3.8562081630706e-05,0.0,3.8562081630706e-05
plain,value,0,32,600.0,2.607507324049427e-05,0.0,2.607507324049427e-05
plain,value,0,32,700.0,1.8264773297633142e-05,0.0,1.8264773297633142e-05
plain,value,0,32,800.0,1.6019678914318305e-05,0.0,1.6019678914318305e-05
plain,value,0,32,900.0,1.1601616293037265e-05,0.0,1.1601616293037265e-05
plain,value,0,32,1000.0,9.617733377193712e-06,0.0,9.617733377193712e-06
plain,value,0,32,1100.0,8.487001621044753e-06,0.0,8.487001621044753e-06
plain,value,0,32,1200.0,7.573248339071675e-06,0.0,7.573248339071675e-06
plain,value,0,32,1300.0,6.8220330201019396e-06,0.0,6.8220330201019396e-06
plain,value,0,32,1400.0,5.859769283489713e-06,0.0,5.859769283489713e-06
plain,value,0,32,1500.0,6.030697875073059e-06,0.0,6.030697875073059e-06
plain,value,0,32,1600.0,5.6769304047079e-06,0.0,5.6769304047079e-06
plain,value,0,32,1700.0,4.825004734019244e-06,0.0,4.825004734019244e-06
plain,value,0,32,1800.0,4.950816022909475e-06,0.0,4.950816022909475e-06
plain,value,0,32,1900.0,4.8684874491794115e-06,0.0,4.8684874491794115e-06
plain,value,0,32,2000.0,4.548264831218257e-06,0.0,4.548264831218257e-06
