teacher,teacher_frequency,teacher_derivative_amplitude,teacher_s,teacher_M1,method,repeat,seed,width,steps,evaluation_grid_size,output_rmse_tolerance,distance_distortion_tolerance,parameter_count,output_rmse,minimum_student_std,epsilon1_grid_max,q_theory,delta_cert,distance_distortion_bound,metric_distortion_max,metric_length_distortion_max,distance_distortion_max,distance_distortion_p95,triplet_accuracy,hard_triplet_accuracy,hard_triplet_fraction,certified_triplet_accuracy_lower_bound,triplet_accuracy_on_certified_subset,certified_all_distance_pass,empirical_all_distance_pass,certificate_scope
plain,0,0.0,1.0,1.0,value,0,20260735,4,2500,48,0.02,0.05,80,0.024916016563740335,0.2727623870687427,0.2194042501689346,0.48694672533006167,0.48694672533006167,0.2837226272805078,0.374548195931349,0.18143512132889383,0.1559875683094396,0.062217277308205976,0.9410807291666666,0.8989955357142857,0.5833333333333334,0.18196614583333334,1.0,0,0,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,0,20260739,8,2500,48,0.02,0.05,184,0.008654355695514383,0.297290397627159,0.07857302783389533,0.16331977637077674,0.16331977637077674,0.08529774044817007,0.1383718542190605,0.07176072816275458,0.06840330478100154,0.029226432671072694,0.9765625,0.9598214285714286,0.5833333333333334,0.3736979166666667,1.0,0,0,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,0,20260747,16,2500,48,0.02,0.05,488,0.004301082666846215,0.30422712784561184,0.04999925548158235,0.10249843651187725,0.10249843651187725,0.05263440874806802,0.0781948467840754,0.038361616578769464,0.03840581229019291,0.02428075914175562,0.9762369791666666,0.9592633928571429,0.5833333333333334,0.4140625,1.0,0,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,0,20260763,32,2500,48,0.02,0.05,1480,0.0020554008889180986,0.31076671929241517,0.02819510939983425,0.05718518299373712,0.05718518299373712,0.02901348258265557,0.05036342393829263,0.024872393978046636,0.034409383574856234,0.024356802577618897,0.9775390625,0.9614955357142857,0.5833333333333334,0.6800130208333334,1.0,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,0,20260795,64,2500,48,0.02,0.05,5000,0.0012288312965706043,0.31190417150113553,0.016625793099851443,0.033528003195901955,0.033528003195901955,0.016906923631288095,0.03010869305192121,0.01494270431976652,0.031235714408962112,0.024139124821696067,0.9775390625,0.9614955357142857,0.5833333333333334,0.8177083333333334,1.0,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,0,20260859,128,2500,48,0.02,0.05,18184,0.0008588777145989905,0.3126468450890962,0.012582443655127696,0.025323205198589854,0.025323205198589854,0.012742791972927603,0.02222588277602955,0.011051869478529541,0.028689517807147125,0.02436094026874309,0.9765625,0.9598214285714286,0.5833333333333334,0.8600260416666666,1.0,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,0,20260987,256,2500,48,0.02,0.05,69128,0.0006820828235834339,0.3129366166018939,0.008579492959295157,0.017232593618028907,0.017232593618028907,0.00865374042064837,0.014177177082058123,0.00711389227266257,0.027196946511617304,0.02422350293858796,0.9768880208333334,0.9603794642857143,0.5833333333333334,0.9098307291666666,0.9974955277280859,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,1,20260835,4,2500,48,0.02,0.05,80,0.0246663391602452,0.2837871508530129,0.21167626253218413,0.4681593651839624,0.4681593651839624,0.2707259535565265,0.4046901744982958,0.18940802015080827,0.1447870655734511,0.05948487148504402,0.9313151041666666,0.8822544642857143,0.5833333333333334,0.193359375,1.0,0,0,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,1,20260839,8,2500,48,0.02,0.05,184,0.00917500369924967,0.3033151311140764,0.10139321658683503,0.2130670175434949,0.2130670175434949,0.11290756825655135,0.19416418705348737,0.09277819664078546,0.08404326595150313,0.03099095845987576,0.9684244791666666,0.9458705357142857,0.5833333333333334,0.3375651041666667,1.0,0,0,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,1,20260847,16,2500,48,0.02,0.05,488,0.004197618482778703,0.3042865299093094,0.04386178168339003,0.08964741925922143,0.08964741925922143,0.045876013957945494,0.07532627446570506,0.03840043389449532,0.04575344744225962,0.024543089122601256,0.9772135416666666,0.9609375,0.5833333333333334,0.4775390625,1.0,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,1,20260863,32,2500,48,0.02,0.05,1480,0.0020772900903964944,0.3101600762188467,0.024825534260239226,0.05026737567178476,0.05026737567178476,0.025457735996937236,0.04508066901769081,0.022291870757901844,0.03347721295846018,0.024374218140976043,0.9762369791666666,0.9592633928571429,0.5833333333333334,0.7233072916666666,1.0,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,1,20260895,64,2500,48,0.02,0.05,5000,0.00128364239938598,0.31168486293798114,0.01612247417164238,0.032504882516700036,0.032504882516700036,0.016386703280552473,0.030415499029480153,0.01532518008709094,0.03160248550921163,0.02421840391557547,0.9775390625,0.9614955357142857,0.5833333333333334,0.822265625,1.0,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,1,20260959,128,2500,48,0.02,0.05,18184,0.0008038692018305727,0.31221898402688397,0.011227968378276961,0.02258200403045751,0.02258200403045751,0.011355475426307549,0.018600588967184195,0.00934394917670045,0.028808543993814606,0.024243107297141808,0.9768880208333334,0.9603794642857143,0.5833333333333334,0.8763020833333334,0.9988855869242199,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,1,20261087,256,2500,48,0.02,0.05,69128,0.0007235680139140198,0.3126925202087059,0.00886191314229892,0.01780235978913949,0.01780235978913949,0.008941151994060204,0.01606165763655676,0.008063337524293668,0.027623488884112257,0.02405970777939288,0.9772135416666666,0.9609375,0.5833333333333334,0.90625,0.9978448275862069,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,2,20260935,4,2500,48,0.02,0.05,80,0.02325817247100743,0.2893109840150586,0.22912899465080971,0.5107580854913102,0.5107580854913102,0.3005416992352655,0.41282761976679816,0.22686395802240944,0.16549527946868403,0.057877175121947816,0.931640625,0.8828125,0.5833333333333334,0.17122395833333334,1.0,0,0,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,2,20260939,8,2500,48,0.02,0.05,184,0.008765515362367799,0.296408666706444,0.09421297699013506,0.19730203901361384,0.19730203901361384,0.10406587240668963,0.1702597414494036,0.08178544150372247,0.06109843797457226,0.03017540213109472,0.98046875,0.9665178571428571,0.5833333333333334,0.3489583333333333,1.0,0,0,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,2,20260947,16,2500,48,0.02,0.05,488,0.004109422263294349,0.3030342863827744,0.048777380654642016,0.09993399417281187,0.09993399417281187,0.05128191446184183,0.07536547127002935,0.03699829858588943,0.04196613281311534,0.024535992131666812,0.9778645833333334,0.9620535714285714,0.5833333333333334,0.4166666666666667,1.0,0,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,2,20260963,32,2500,48,0.02,0.05,1480,0.0023779490867251387,0.30997089260170724,0.026497393700521062,0.05369689927396254,0.05369689927396254,0.027218883444976916,0.04806242562440155,0.023749200548846217,0.03586993124683713,0.024269168064007637,0.9755859375,0.9581473214285714,0.5833333333333334,0.7024739583333334,1.0,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,2,20260995,64,2500,48,0.02,0.05,5000,0.001150467502888449,0.31227925097020737,0.015026170193184219,0.030278126177042976,0.030278126177042976,0.015255427116779186,0.024303812966183003,0.01209662119673005,0.03264374561844585,0.024248706214792637,0.9772135416666666,0.9609375,0.5833333333333334,0.8330078125,1.0,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,2,20261059,128,2500,48,0.02,0.05,18184,0.0007904390560588881,0.3126869676120305,0.010536759854635145,0.021184543017504543,0.021184543017504543,0.010648971809047225,0.01824965490036068,0.00916684295506176,0.028591082094053588,0.02414105034439167,0.9765625,0.9598214285714286,0.5833333333333334,0.8876953125,0.9992665933259993,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,value,2,20261187,256,2500,48,0.02,0.05,69128,0.0007517934892192883,0.31199806535853214,0.009996746532195469,0.0200934280056199,0.0200934280056199,0.010097695732361633,0.01691628513297394,0.008494218439939694,0.02847161128585851,0.02419834062401753,0.9775390625,0.9614955357142857,0.5833333333333334,0.8932291666666666,0.999271137026239,1,1,fixed_evaluation_grid
plain,0,0.0,1.0,1.0,c1,0,20270735,4,2500,48,0.02,0.05,80,0.013179872353501178,0.29527669700810016,0.11022091441451302,0.23259047880339745,0.23259047880339745,0.1239808671058591,0.21811713543356803,0.10368343986560213,0.08416051244903544,0.034869773498362344,0.9638671875,0.9380580357142857,0.5833333333333334,0.3229166666666667,1.0,0,0,fixed_evaluation_grid
