pair_index,left_pool_index,right_pool_index,left_label,right_label,straight_teacher_length,geodesic_candidate_teacher_length,straight_relative_excess,passing_student,fixed_teacher_path_student_length_error,length_resolution_relative_gap,maximum_latent_edge,normalized_boundary_clearance,minimum_teacher_metric_eigenvalue,maximum_teacher_metric_condition_number
0,1557,1503,9,6,8.984157038539575,8.898124055633264,0.009668665256677755,rank 13,0.001209678456488783,4.6824589228222635e-07,0.03833569278565404,0.25004409514451476,21.837734737159803,2.226121924968606
1,1669,1875,2,5,10.933033808521856,10.928534067844296,0.00041174238462593493,rank 13,0.0008462133718325493,6.310741125226116e-07,0.05536856650692673,0.32649589939280277,14.49668043613146,3.4441670753403253
2,646,2217,1,0,9.341797344127935,9.27389928974478,0.007321413815463584,rank 13,0.0015725203162066936,1.5019079313560724e-08,0.054696389502478196,0.12838480178068606,7.462826273661059,2.8362358728247368
3,1688,1284,9,5,9.248824581381664,9.144776947627303,0.011377820842459974,rank 13,0.0007777341163708318,8.425821995672322e-08,0.04027610530254587,0.2537189379785872,15.479613049699978,3.0658574752098513
4,1550,119,7,6,11.450497136029405,11.223105041460215,0.020261068013634587,rank 13,0.0008978166787956265,7.482099773081785e-07,0.04670950501763709,0.2616228585998045,14.635054224256297,3.6583964401810025
5,2813,379,4,6,10.958566559322975,10.940287756979275,0.0016707789365082437,rank 13,0.0006374138243232519,1.6032625516082533e-07,0.057832895529095915,0.15189638875052155,10.508292254512003,2.468997504628573
6,1036,772,6,0,9.445215684414173,9.44286029661723,0.0002494358407256758,rank 13,0.001000299745284261,1.9759027136689866e-07,0.05200159198823888,0.2516645074557219,10.84756802286508,3.0168725817477546
7,35,1011,1,7,12.422827033961608,12.272236265494904,0.01227084984422211,rank 13,0.0006725537726542941,3.558573586914804e-07,0.04847300807340953,0.16307987856360964,9.556956086780948,6.022345752354331
8,446,2459,6,1,6.401479639835169,6.384157104847294,0.0027133628924518316,rank 13,0.0008941785132009494,1.0251392801308157e-07,0.03460938061259507,0.12138319703315117,9.661511054227239,3.42789263329823
9,15,41,4,5,14.579211633741261,14.457338425911457,0.008429850933791228,rank 13,0.0008391645548395665,6.189293453306988e-07,0.06849278580682132,0.18963560680082198,17.699697648783864,2.8267003435274467
10,2088,1057,3,5,12.749568878944014,12.57694528663555,0.013725399003834182,rank 13,0.0015195894896097295,8.201622752057602e-07,0.10500738017349738,0.13792906734423915,4.619389153260752,7.141228204619864
11,151,2967,0,6,13.182199986923981,13.141983312907957,0.00306016778886975,rank 13,0.0006795615520587273,2.0342089634972638e-07,0.06396506674018598,0.22740217137237426,15.578516563710453,3.2802799927132082
12,995,299,4,2,12.462112657674123,12.420796762810218,0.0033263481927030547,rank 13,0.0008948690478262078,8.150239527715541e-08,0.05723610273551457,0.1504256463185048,11.301566811322912,2.19261001692473
13,584,2165,1,5,9.68678996038787,9.63038437574782,0.005857043959958341,rank 13,0.0006388793115948976,1.926759359838215e-07,0.04333748822577763,0.13795710454191057,9.179324287773728,5.992066219997044
14,1175,2094,1,3,7.404014847855015,7.367879202025252,0.004904484023004807,rank 13,0.0010138378524128244,1.7755241277228606e-07,0.0389959759095135,0.13394151152928938,9.65591510992722,3.418409805739371
15,1245,1523,9,3,13.339460076440401,12.830190111932913,0.03969309574250457,rank 13,0.0011739702339728098,1.4779404424736242e-06,0.05485976511976339,0.2601227641256017,23.268129811943577,2.887345848721981
16,678,1526,4,7,11.722691490782355,11.343903720763855,0.03339130685014258,rank 13,0.0009378538575205431,1.0944581712024615e-06,0.046052289577552044,0.30262101026728216,21.656672589131897,3.366531668886249
17,1317,2205,3,5,9.85557261956605,9.84264670175278,0.0013132563023894317,rank 13,0.0005935181351812702,9.241839515894412e-09,0.03756459372262891,0.20405147294006215,14.937921508710259,4.17008147173895
18,1411,274,2,3,8.223474206047328,7.859478693763445,0.0463129332703347,rank 13,0.001210046839426493,4.335647494357886e-07,0.03432202703491029,0.25409631783434594,21.2974879314765,3.4485481250768375
19,2415,835,6,4,10.94966210595178,10.94530027296555,0.00039851195284290597,rank 13,0.0006184108333345817,1.6477122588565152e-07,0.046814986297362006,0.2776526506619941,17.498976697835957,3.0172194597523236
20,2820,313,5,9,7.644254183127551,7.63931759731941,0.0006462076939794947,rank 13,0.0009728194839523363,3.527946379477953e-08,0.04823146210390087,0.10335560334342009,9.75035064299681,2.0007684518234936
21,2939,1488,7,1,14.242880201075085,14.201516690065347,0.0029126122168821045,rank 13,0.00043294915934211087,1.4508878742880427e-07,0.05382696444748936,0.18763992378678557,8.998267285146033,5.992481452337388
22,2441,1759,3,5,14.688791072771668,14.581971053684702,0.007325485607789117,rank 13,0.0007810370055446603,5.307769759266279e-07,0.06399008153089167,0.21284072183273958,16.47727290397257,3.047882798846791
23,1062,1367,8,6,12.082372101053053,11.612693136933476,0.04044530916138567,rank 13,0.001053346025019719,4.3755717871185595e-07,0.04998991078452524,0.27287149651517045,22.12312142063275,3.3544727477044587
24,1188,1573,7,3,14.97343625199132,14.840485896192625,0.008958625528076691,rank 13,0.0013041599621380628,5.973960486294061e-07,0.10713391761097439,0.14440429262082616,6.922908187076689,4.3136625299215625
25,2345,474,4,9,13.937846680525778,13.877925650744329,0.004317722351988129,rank 13,0.0008881894199050944,1.988552123632914e-06,0.07022479919191182,0.19409084802029797,14.953816897814702,2.972529252590589
26,2261,1856,9,2,13.594968630732787,13.558557644714714,0.0026854616082461202,rank 13,0.0008054273338146123,5.92212047623164e-07,0.05578882429550543,0.20342815204107415,23.193739171984554,2.2530112925534613
27,1569,1067,5,9,10.183366488220852,10.035710729971107,0.014713034504749034,rank 13,0.0009152456028697076,9.046232984921687e-08,0.05104082997105056,0.20181724051305797,12.391870459733331,2.8335590590854127
28,2561,1197,0,5,13.864790949705611,13.749752776680753,0.008366563013406436,rank 13,0.0012396442828535026,1.0059979693721743e-06,0.0973565737243243,0.21088474066222804,6.66077265740699,4.073445253565986
29,2436,2383,5,2,11.8154868189124,11.801244684703912,0.0012068332272567872,rank 13,0.0007940746555942235,5.796315007966513e-07,0.05704579553805598,0.31853908459294045,14.68291510811689,3.3211340497349022
30,2555,769,5,3,10.487350692140975,10.471073442845924,0.001554496717447007,rank 13,0.0006855194127893816,9.850049120796456e-08,0.04515358489939815,0.20392838391243592,14.752901979965927,3.4436014792707788
31,2957,1521,9,6,13.838435295057709,13.832497138649497,0.0004292902683218358,rank 13,0.0007519409718477199,3.39351484246464e-07,0.05945966071533312,0.2820154503030362,22.47562960834458,2.482547903104239
32,2063,1783,5,1,8.730203138656854,8.671704494959162,0.006745922180777519,rank 13,0.000706996926285619,1.469435282341891e-07,0.03448301891264392,0.269075088868975,9.785611932291339,6.0694556197207925
33,2381,2740,5,3,11.86910436541829,11.824863346055142,0.0037413556561654016,rank 13,0.000880404187421191,6.576873767816238e-08,0.059949629781360245,0.19798633742333846,13.392953315783217,3.084952583710029
34,2487,2182,3,2,7.571103840580614,7.532673741632466,0.005101787262568935,rank 13,0.002217261534788517,6.541629726797282e-08,0.05223842198433585,0.1606298710325745,8.305561013402157,3.683651223083964
35,699,2151,7,2,12.34191461350522,12.175757588662055,0.013646545082163009,rank 13,0.0009971542124507238,1.1092574234705666e-06,0.05070234193733248,0.2269170223574504,23.024308277902044,2.945848061120144
36,2084,328,2,6,9.53945236294955,9.344087774924116,0.02090782885727127,rank 13,0.0013809744454260642,7.341405483529684e-09,0.05428638128493694,0.12939257208810953,11.515638991452567,3.0044959507184443
37,965,480,3,4,11.076974708961409,10.886667503300526,0.01748075851523767,rank 13,0.0011593441747215216,1.6122461699019652e-08,0.05151006142626027,0.13650724966652397,10.144752422199018,3.4543038303090148
38,277,215,3,6,8.62543095592267,8.568440550894358,0.0066511992106152995,rank 13,0.001627864555317049,1.0337378730795876e-07,0.049700598415643664,0.18519411834737468,12.139683697573725,2.9843886448693646
