method,rank,head_parameters,decoder_parameters,vae_parameters,teacher_head_parameters,head_compression,teacher_output_rmse,worst_local_length_distortion,p95_local_length_distortion,pass_5_percent,teacher_triplet_agreement,reconstruction_mse,reconstruction_psnr,minimum_teacher_metric_eigenvalue,weighted_svd_next_singular_value,geometry_covariance_multiplier,geometry_trace_weight,seed,teacher_epochs,teacher_train_examples,covariance_sample_count,metric_sample_count,reconstruction_sample_count
raw,1,1632,5984,114980,50960,31.225490196078432,0.24505463508635003,1.0,1.0,False,0.5833333333333334,0.0965534310099627,10.152322890288728,2.868070361143945,5.663073114402754,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,2,2480,6832,115828,50960,20.548387096774192,0.18886966838892866,0.9999195603990835,0.9592148647915641,False,0.6198333333333333,0.07179991783482509,11.43876052747985,2.868070361143945,4.990546122139545,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,3,3328,7680,116676,50960,15.3125,0.17882202364764174,0.9882800015175253,0.8681465153614497,False,0.6391666666666667,0.06710772441925368,11.732274875868804,2.868070361143945,4.214308857462045,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,4,4176,8528,117524,50960,12.203065134099617,0.17382411115989763,0.9344116333657823,0.7309929905752344,False,0.6675,0.06538430107350504,11.845265142993863,2.868070361143945,4.181697336347432,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,5,5024,9376,118372,50960,10.143312101910828,0.1614146215527822,0.724622688893148,0.6043117468511788,False,0.7211666666666666,0.06101545631188144,12.145601364535132,2.868070361143945,3.960000624660118,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,6,5872,10224,119220,50960,8.678474114441418,0.1531806467673685,0.7102829910926978,0.5486545010528076,False,0.7523333333333333,0.058315288907330655,12.342175684382394,2.868070361143945,3.7702470919688578,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,7,6720,11072,120068,50960,7.583333333333333,0.13622386830618832,0.6980516996026258,0.47347765076666737,False,0.807,0.053220714551681064,12.739192988231707,2.868070361143945,3.4464267911418434,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,8,7568,11920,120916,50960,6.733615221987315,0.1225886233723259,0.5374270570395033,0.3075575381996458,False,0.8591666666666666,0.049110201258827944,13.088282860797724,2.868070361143945,2.9883377923476626,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,9,8416,12768,121764,50960,6.055133079847908,0.11313247510285808,0.49732655333876075,0.272586567404953,False,0.8893333333333333,0.04673772614984998,13.30332420411796,2.868070361143945,2.7290359320674775,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
raw,10,9264,13616,122612,50960,5.500863557858376,0.0985152995183085,0.3759043054950445,0.20592064570438265,False,0.9138333333333334,0.0432544866246444,13.639688381352176,2.868070361143945,2.5725835435012745,5.827778402939916,4.0,20260730,12,30000,4096,1536,4000
