pair_index,left_pool_index,right_pool_index,left_label,right_label,straight_teacher_length,geodesic_candidate_teacher_length,straight_relative_excess,passing_student,fixed_teacher_path_student_length_error,length_resolution_relative_gap,maximum_latent_edge,normalized_boundary_clearance,minimum_teacher_metric_eigenvalue,maximum_teacher_metric_condition_number
0,2829,2962,6,7,5.898483202525149,5.793544444191845,0.01811304967868299,rank 12,0.0006412516273731628,9.052707605761157e-08,0.04491386755849168,0.2762700852100678,7.036498736205319,1.5482082833793964
1,1775,1397,7,1,4.216145507515782,4.201311479129995,0.0035308090008263626,rank 12,0.0012477439577699423,5.024535898456861e-09,0.027791436789242386,0.19553517994007347,5.629601070681895,3.587233703605757
2,287,1349,6,4,5.5600323206291105,5.465984509331158,0.01720601497084373,rank 12,0.000787231136645028,1.379970049342205e-07,0.033164593390969534,0.3244113752548344,11.012901871220832,1.764820835398311
3,2789,391,1,3,6.917912176370891,6.698532990026208,0.03275033304625463,rank 12,0.0015544867143725272,1.4078445054188649e-07,0.04734065352941875,0.12186026542528326,4.080870914097187,3.2981051594574127
4,1337,2339,9,2,5.364676892196087,5.250007610863614,0.021841736209142315,rank 12,0.000586996217045721,2.54390887688416e-07,0.042605094713678474,0.3073276033576634,6.507980869890822,2.2841676570244975
5,37,1043,5,1,6.752845058106102,6.675326926578739,0.011612634464195803,rank 12,0.0022575525118773143,1.764836180528917e-07,0.057515477086420276,0.08817338588179138,5.098029411062441,2.5427933678118313
6,256,988,2,8,6.170641110022,6.118534378974042,0.008516211206889723,rank 12,0.0013964777723436406,1.7866268309241207e-07,0.05556249886769958,0.2445207359636727,4.812927143374575,3.515780292495427
7,1293,2314,8,9,4.758900441673709,4.674620310848165,0.018029299755096373,rank 12,0.002224250699110475,1.3239101925854868e-08,0.041492160247707396,0.2314070471678482,4.261166263502567,4.235090872469052
8,2378,2154,6,9,4.925336139432542,4.847413126290624,0.016075174760593836,rank 12,0.0005031174440952579,1.6639386091199526e-08,0.038514422432556296,0.31284672453035545,6.849656530301473,1.6256204706972073
9,1187,1266,6,3,5.475762423321638,5.449113895622533,0.0048904332354866575,rank 12,0.0009753918094297376,1.9362150804891343e-07,0.029530863962624585,0.2699647247182677,8.635473359378498,2.1214309819297985
10,2343,2026,6,7,7.065517890761152,7.037763636421291,0.0039436184239307615,rank 12,0.0007644607471622988,9.355655317122569e-08,0.04621933254349243,0.2931066288252326,8.823865958903527,1.9691977512003054
11,766,2156,8,9,5.442567018954771,5.4405881879441935,0.0003637163744467653,rank 12,0.0011935502330918668,1.479549320837492e-07,0.03838670321854707,0.3095519122015658,7.602564777859662,1.9023568782606497
12,2093,1077,9,1,6.749779297246582,6.6895429881981965,0.009004547717931688,rank 12,0.0021414998829726306,2.1924010917828696e-07,0.05698943154811823,0.09276359676874607,5.181959929988408,2.418839691740936
13,1310,602,4,7,3.5882847745210262,3.56977049905281,0.005186404972848724,rank 12,0.0013557849385070764,1.666743270067883e-07,0.028863042710556258,0.24491118363649328,6.458292324608497,2.042012814162041
14,152,2954,9,0,5.732499327570352,5.723172813130271,0.0016296055954634348,rank 12,0.001220289993181245,1.5997170010884076e-07,0.04105971717868721,0.32210391830024754,8.046033013229541,1.6965712251754
15,108,16,1,8,4.569488411302335,4.537375804733282,0.007077352185718144,rank 12,0.002660504184160639,7.112852429269623e-08,0.03568876005821328,0.10761020962110428,3.752398591770613,2.576386310349923
16,1264,1548,1,4,6.120811829527945,5.991705519024453,0.021547505980319404,rank 12,0.0010818220399418932,2.793436375547742e-07,0.04178596679944394,0.07104144598396675,4.958094631380522,2.6080208439546615
17,716,1549,7,2,4.625325164492731,4.597572995094262,0.0060362650964065345,rank 12,0.0007532271969585835,6.807666030894666e-08,0.03521691658432528,0.3193200183249877,6.721482777845712,1.8188188362911517
18,1340,2214,4,5,7.820448552165546,7.666566553080769,0.020071827201831427,rank 12,0.001028654923975636,2.2957501055742568e-07,0.05060382653229236,0.19919279242223337,8.225954619801058,1.9872352214705593
19,1120,1800,8,4,6.649468705139931,6.645644018924264,0.0005755177684474422,rank 12,0.0011255739466221604,1.138707153014451e-07,0.04362421186732459,0.2959996905670513,8.359696255060223,1.6642916613280359
20,348,2887,8,1,4.02015937931283,4.0127588129999765,0.0018442589394802589,rank 12,0.0022285976229483584,1.471446612333338e-07,0.03263944654891345,0.08809967352936544,5.106936387119419,1.7957362386992686
21,751,2157,7,6,5.088844934547232,5.064042616664789,0.004897730876281203,rank 12,0.001029290557183593,2.5021278071690745e-07,0.038208638431912724,0.3000011334275876,7.562381206114153,1.6908151073633275
22,2334,2168,4,0,6.457276541126471,6.3090904512326,0.023487710477335222,rank 12,0.000766176695650711,1.0571037378781512e-07,0.03863001083591166,0.32411326117138484,9.679136250493011,1.8422119938149484
23,211,1273,6,7,5.777667563017271,5.6672041581915815,0.019491693212784877,rank 12,0.0018711255547474437,1.0338874112392205e-07,0.047665171756474944,0.08083154878807552,4.640268184548034,2.970970759306706
24,1198,2702,4,6,4.9789173454880356,4.915559463324875,0.012889251495353804,rank 12,0.0007909966234326271,1.0367537051081399e-07,0.02878067916350974,0.31905542944554516,11.372050573860738,1.7251617714199299
25,1585,1091,2,9,6.491123538004565,6.389087922389144,0.015970294485674552,rank 12,0.0005927206335394342,2.8755573477923235e-08,0.03745241340712308,0.31757755381851926,11.22156824640263,1.7704381400801386
26,522,351,5,0,5.890556514193175,5.88090061307957,0.0016419085696042224,rank 12,0.0010421712604671285,2.223836070847085e-08,0.03522260887623261,0.26030283404315335,9.053892437661105,2.233506436907577
27,2535,2423,4,7,3.982850441500004,3.9728782056779193,0.0025100784131344422,rank 12,0.0008802941214295368,8.946152885158654e-08,0.030147266452072725,0.23290043987183526,7.278187046529023,1.43969718748593
28,259,1117,9,8,4.347221376422193,4.329545292306265,0.00408266525063028,rank 12,0.0013667115205506786,1.490406298376712e-08,0.03257023940283898,0.2837345964053846,6.152611859676955,2.54569635165675
29,2191,488,1,9,7.519227759368203,7.42579146883663,0.012582670941365892,rank 12,0.001016339553993828,2.3735834053795202e-07,0.051847907396045854,0.1718915149127277,7.534229915760648,1.9408615001777407
30,2362,2729,9,6,6.072102961059645,5.964250161477448,0.018083211914686093,rank 12,0.0007692303684960766,2.935943965720611e-07,0.047235769530645635,0.29692398628234223,6.784694291723378,2.3191070460937917
31,2140,1680,9,8,4.7995387120770925,4.791561180315199,0.001664912846081723,rank 12,0.0012891429960460998,8.273717433393557e-08,0.0338046963484439,0.31675344115778703,6.865776109158367,2.1889191812851414
32,2090,2685,5,9,4.49238213597636,4.485342725611973,0.0015694253025952953,rank 12,0.001007948742954956,1.2976849905754761e-07,0.031078389662693672,0.2605673202712316,7.054405866561558,2.140118210156881
33,2471,2186,7,8,6.248326714266598,6.226705788742164,0.0034722895633714224,rank 12,0.0014714864166004427,1.8703528859020935e-07,0.046161713858742875,0.24270663889094427,6.167044785528795,2.4844914219261307
34,649,782,1,3,4.06444971718151,4.0579227933173,0.0016084396368898357,rank 12,0.0020277416125885628,5.607492237214018e-08,0.03326609367663628,0.05940961721617066,4.981417932681864,2.027633639115644
35,2619,2113,7,8,4.078942132628095,3.943380502389278,0.034377009815989235,rank 12,0.0016211255675040448,3.460507367325505e-07,0.034119239803925776,0.2007656578960792,5.5241616700976905,3.867673802155015
36,456,575,9,6,6.3437209229063685,6.242186796957727,0.016265794224249452,rank 12,0.0008234779947964288,1.2090191758851176e-07,0.04012687829860712,0.21902807011793693,9.642466215588248,1.9458227343777525
