method,rank,head_parameters,decoder_parameters,vae_parameters,teacher_head_parameters,head_compression,teacher_output_rmse,worst_local_length_distortion,p95_local_length_distortion,pass_5_percent,teacher_triplet_agreement,reconstruction_mse,reconstruction_psnr,minimum_teacher_metric_eigenvalue,weighted_svd_next_singular_value,geometry_covariance_multiplier,geometry_trace_weight,seed,teacher_epochs,teacher_train_examples,covariance_sample_count,metric_sample_count,reconstruction_sample_count
raw,1,1632,5984,114980,50960,31.225490196078432,0.17042071084750612,1.0,1.0,False,0.5796666666666667,0.08156632947896648,10.88489080697586,3.188252029393138,4.051647840712909,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,2,2480,6832,115828,50960,20.548387096774192,0.13102288178362365,0.9995967714296395,0.957930000991882,False,0.6076666666666667,0.06891068890789562,11.617134083729026,3.188252029393138,3.678274655620708,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,3,3328,7680,116676,50960,15.3125,0.12495548110574814,0.9818107474719816,0.8625702281468478,False,0.6186666666666667,0.06678381976205308,11.753287446985434,3.188252029393138,3.4684531920059607,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,4,4176,8528,117524,50960,12.203065134099617,0.11399942874022387,0.9788623668007105,0.7685669741748424,False,0.6615,0.06339941207515506,11.979147694636902,3.188252029393138,3.4095258846646153,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,5,5024,9376,118372,50960,10.143312101910828,0.1078082640721071,0.9102821932947522,0.6490964303785187,False,0.701,0.06201772115875957,12.074841959567813,3.188252029393138,3.1268586241226326,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,6,5872,10224,119220,50960,8.678474114441418,0.0989584739080717,0.569738758774488,0.4627254206892954,False,0.777,0.0597311614478481,12.23799040493387,3.188252029393138,2.998035203157109,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,7,6720,11072,120068,50960,7.583333333333333,0.08979342567753314,0.4402026785785832,0.3778207236306645,False,0.7935,0.05766332481936732,12.391003201671094,3.188252029393138,2.756953747670981,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,8,7568,11920,120916,50960,6.733615221987315,0.08139328444966468,0.3621948733477711,0.2964498384301292,False,0.8643333333333333,0.056019582812477486,12.51660129766531,3.188252029393138,2.596991856834802,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,9,8416,12768,121764,50960,6.055133079847908,0.07058078241239783,0.2629923342363921,0.18186725664401615,False,0.9255,0.054175283253466947,12.661988093095548,3.188252029393138,2.48027762693959,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
raw,10,9264,13616,122612,50960,5.500863557858376,0.06700540237186049,0.2383306092834926,0.1777198984156372,False,0.9366666666666666,0.05353830562435353,12.713353774456419,3.188252029393138,2.427168750462865,4.978490794716959,4.0,20260730,12,30000,4096,1536,4000
