step,training_loss_ema,validation_loss
0,,1.245297827
100,1.114299662,0.9319122491
200,0.7032751318,0.5021835837
300,0.4806635968,0.3969733255
400,0.4155702167,0.3919457209
500,0.4143065367,0.3906531032
600,0.4056435115,0.3881262499
700,0.4106131576,0.3841503462
800,0.3883834144,0.3827160629
900,0.3869724927,0.3802896967
1000,0.3967433711,0.3791824724
1100,0.40363549,0.3769949734
1200,0.4002594362,0.3761229646
1300,0.3915945489,0.3748964541
1400,0.3797843723,0.373276619
1500,0.3837201614,0.3718085929
1600,0.3829666576,0.3710553977
1700,0.3879239265,0.3697873958
1800,0.3797555988,0.3695781194
1900,0.3921641904,0.3700030291
2000,0.402411819,0.3679697129
2100,0.3789973109,0.3671150183
2200,0.3891455253,0.3680259175
2300,0.3784615892,0.3663505704
2400,0.383925188,0.3656679925
2500,0.3783676344,0.3654839065
2600,0.3745616349,0.3641482643
2700,0.3855068933,0.3645932053
2800,0.3893289524,0.3634384857
2900,0.372150285,0.3630264771
3000,0.3707491795,0.3630153568
3100,0.3677028458,0.3627673771
3200,0.3937945107,0.3629274446
3300,0.3917727283,0.3612912341
3400,0.3884913297,0.3612747723
3500,0.3734192135,0.3607987691
3600,0.3783528853,0.3606141003
3700,0.3860469245,0.3602944746
3800,0.3810253025,0.361213646
3900,0.36131376,0.3600387669
4000,0.3859429257,0.3597048403
4100,0.3762912976,0.3593520715
4200,0.369315754,0.3626304496
4300,0.3633203769,0.3592103999
4400,0.3665373849,0.3593683311
4500,0.3906778794,0.3601715463
4600,0.3623631443,0.3586200188
4700,0.3809400386,0.3589610801
4800,0.3774058235,0.358408311
4900,0.3933902028,0.358151623
5000,0.3680150273,0.3589133301
5100,0.3691722171,0.3580522191
5200,0.390922804,0.3586649932
5300,0.3692565357,0.3586585302
5400,0.3602189189,0.3578501373
5500,0.3657244346,0.3577675917
5600,0.3641537404,0.3579607402
5700,0.3727253376,0.3580000318
5800,0.3764184865,0.3579682467
5900,0.381711277,0.358102935
6000,0.371201888,0.3580658135
