manifold,intrinsic_dimension,construction,K,W2_upper,exact_W2
S^1,1,等間隔,4,0.132955834092,0.132955834282
S^1,1,等間隔,8,0.034167839491,0.0341678396989
S^1,1,等間隔,16,0.008600983092,0.00860098330454
S^1,1,等間隔,32,0.0021539498475,0.00215395006117
S^1,1,等間隔,64,0.000538719055213,0.000538719269141
S^1,1,等間隔,128,0.000134694091589,0.000134694305444
S^1,1,等間隔,256,3.36742679041e-05,3.36744828307e-05
S^2,2,Fibonacci,8,0.158534584422,
S^2,2,Fibonacci,16,0.0787435862262,
S^2,2,Fibonacci,32,0.0391581090477,
S^2,2,Fibonacci,64,0.0193085733944,
S^2,2,Fibonacci,128,0.00956953287781,
S^2,2,Fibonacci,256,0.00479993575625,
\mathbb T^2,2,m\times m 格子,9,0.324838678607,
\mathbb T^2,2,m\times m 格子,16,0.188030159644,
\mathbb T^2,2,m\times m 格子,36,0.0852894603652,
\mathbb T^2,2,m\times m 格子,64,0.048319596393,
\mathbb T^2,2,m\times m 格子,144,0.0215871232264,
\mathbb T^2,2,m\times m 格子,256,0.0121636881718,
\mathbb T^2,2,m\times m 格子,576,0.00541266234563,
"\St(3,2)",3,FPS,8,0.649007996645,
"\St(3,2)",3,FPS,16,0.413207415122,
"\St(3,2)",3,FPS,32,0.279439354776,
"\St(3,2)",3,FPS,64,0.174241203963,
"\St(3,2)",3,FPS,128,0.111501351799,
"\St(3,2)",3,FPS,256,0.0713471772646,
"\Gr(4,2)",4,FPS,8,0.643964835598,
"\Gr(4,2)",4,FPS,16,0.458061255368,
"\Gr(4,2)",4,FPS,32,0.336089484539,
"\Gr(4,2)",4,FPS,64,0.23975786773,
"\Gr(4,2)",4,FPS,128,0.173632400361,
"\Gr(4,2)",4,FPS,256,0.124704965773,
