model,step,objective,reconstruction,distance_squared
r2_gw,1.0,0.2016655057668686,0.2016655057668686,0.188843235373497
r2_gw,50.0,0.06782494485378265,0.06782494485378265,0.08447194844484329
r2_gw,100.0,0.05268947035074234,0.05268947035074234,0.08762423694133759
r2_gw,150.0,0.05190496891736984,0.04507899284362793,0.07446517795324326
r2_gw,200.0,0.054596591740846634,0.041035816073417664,0.07396786659955978
r2_gw,250.0,0.06249280273914337,0.04182742163538933,0.07514683157205582
r2_gw,300.0,0.05942055955529213,0.03395184129476547,0.06946013867855072
r2_gw,350.0,0.06281478703022003,0.030321704223752022,0.07089399546384811
r2_gw,400.0,0.08363466709852219,0.03871757909655571,0.08166743069887161
r2_gw,450.0,0.06256062537431717,0.025098539888858795,0.06811287999153137
r2_gw,500.0,0.06901851296424866,0.023224495351314545,0.08326184749603271
r2_gw,550.0,0.056031495332717896,0.018505685031414032,0.06822874397039413
r2_gw,600.0,0.064761221408844,0.0227323267608881,0.07641616463661194
r2_gw,650.0,0.07112077623605728,0.027544409036636353,0.07922975718975067
r2_gw,700.0,0.06448930501937866,0.023805826902389526,0.07396995276212692
r2_gw,750.0,0.0661422610282898,0.02218276634812355,0.07992635667324066
r2_gw,800.0,0.06923328340053558,0.02351037785410881,0.0831325575709343
r2_gw,850.0,0.06429965049028397,0.021193500608205795,0.07837481796741486
r2_gw,900.0,0.06440501660108566,0.020760122686624527,0.07935435324907303
r2_gw,950.0,0.06331905722618103,0.021861443296074867,0.07537747174501419
r2_gw,1000.0,0.07110282778739929,0.029354533180594444,0.07590598613023758
r2_gw,1050.0,0.06138277053833008,0.018888158723711967,0.07726292312145233
r2_gw,1100.0,0.05934498831629753,0.0183674655854702,0.07450458407402039
r2_gw,1150.0,0.058346353471279144,0.017685288563370705,0.07392920553684235
r2_gw,1200.0,0.05591440200805664,0.014304939657449722,0.0756535679101944
r2_gw,1250.0,0.06426375359296799,0.02199217863380909,0.07685741037130356
r2_gw,1300.0,0.062458593398332596,0.01977584883570671,0.0776049867272377
r2_gw,1350.0,0.052952006459236145,0.013207649812102318,0.07226245850324631
r2_gw,1400.0,0.06301999092102051,0.015461120754480362,0.08647067099809647
r2_gw,1450.0,0.05603479593992233,0.017208704724907875,0.07059289515018463
r2_gw,1500.0,0.052473220974206924,0.0135631263256073,0.07074562460184097
t2_gw,1.0,0.18726332485675812,0.18726332485675812,0.46975788474082947
t2_gw,50.0,0.08141419291496277,0.08141419291496277,0.4914485514163971
t2_gw,100.0,0.07858353108167648,0.07858353108167648,0.3984445035457611
t2_gw,150.0,0.06674698740243912,0.06363680958747864,0.03392922133207321
t2_gw,200.0,0.04401944950222969,0.042854245752096176,0.006355662830173969
t2_gw,250.0,0.025419242680072784,0.02394052967429161,0.005377138499170542
t2_gw,300.0,0.01276111789047718,0.010721652768552303,0.005562178324908018
t2_gw,350.0,0.01096501387655735,0.007875899784266949,0.006739885080605745
t2_gw,400.0,0.009756004437804222,0.005374814383685589,0.007965799421072006
t2_gw,450.0,0.008408254943788052,0.004657302517443895,0.006819913163781166
t2_gw,500.0,0.007912792265415192,0.004671825096011162,0.005892667919397354
t2_gw,550.0,0.007131639868021011,0.0035216084215790033,0.006563693284988403
t2_gw,600.0,0.006551134865731001,0.003531982423737645,0.005489367991685867
t2_gw,650.0,0.007973099127411842,0.0034375640098005533,0.008246427401900291
t2_gw,700.0,0.005072354339063168,0.0026563010178506374,0.0043928236700594425
t2_gw,750.0,0.0070834169164299965,0.0026720131281763315,0.008020734414458275
t2_gw,800.0,0.005963257513940334,0.0026968985330313444,0.005938834045082331
t2_gw,850.0,0.005672060418874025,0.0024766232818365097,0.005809885449707508
t2_gw,900.0,0.006886789575219154,0.00272874953225255,0.0075600724667310715
t2_gw,950.0,0.005297200754284859,0.002208745339885354,0.005615373142063618
t2_gw,1000.0,0.004716858267784119,0.002236237982288003,0.004510218743234873
t2_gw,1050.0,0.005810003727674484,0.0021721047814935446,0.006614361423999071
t2_gw,1100.0,0.004271822981536388,0.0018598195165395737,0.0043854606337845325
t2_gw,1150.0,0.006379276979714632,0.002095639705657959,0.007788431365042925
t2_gw,1200.0,0.004133898764848709,0.0018426103051751852,0.004165979102253914
t2_gw,1250.0,0.00603395514190197,0.0020158609841018915,0.007305626291781664
t2_gw,1300.0,0.005987547338008881,0.0020759813487529755,0.007111937738955021
t2_gw,1350.0,0.004917370155453682,0.0017538099782541394,0.005751927383244038
t2_gw,1400.0,0.005280196666717529,0.001764930784702301,0.006391392555087805
t2_gw,1450.0,0.004488677717745304,0.0018957778811454773,0.004714363254606724
t2_gw,1500.0,0.004301087465137243,0.001701651606708765,0.004726246930658817
s2_recon,1.0,0.19714170694351196,0.19714170694351196,0.47114601731300354
s2_recon,50.0,0.08026288449764252,0.08026288449764252,0.298561155796051
s2_recon,100.0,0.06085875257849693,0.06085875257849693,0.04270220175385475
s2_recon,150.0,0.05346004664897919,0.05346004664897919,0.031806278973817825
s2_recon,200.0,0.03110351227223873,0.03110351227223873,0.004701932426542044
s2_recon,250.0,0.006172615103423595,0.006172615103423595,0.00013770350778941065
s2_recon,300.0,0.0029444904066622257,0.0029444904066622257,0.00018740289669949561
s2_recon,350.0,0.002076497534289956,0.002076497534289956,0.00021149982057977468
s2_recon,400.0,0.0016171865863725543,0.0016171865863725543,0.00022353218810167164
s2_recon,450.0,0.0014446716522797942,0.0014446716522797942,0.0002445433638058603
s2_recon,500.0,0.0013320317957550287,0.0013320317957550287,0.00030711450381204486
s2_recon,550.0,0.0012370602926239371,0.0012370602926239371,0.00025667264708317816
s2_recon,600.0,0.0012282026000320911,0.0012282026000320911,0.00023225386394187808
s2_recon,650.0,0.001144202658906579,0.001144202658906579,0.0002521217684261501
