step,training_loss_ema,validation_loss
0,,2.317972771
100,1.934102002,1.570542355
200,1.468835158,1.381186928
300,1.371079551,1.359058973
400,1.339650733,1.348442626
500,1.299470199,1.34929303
600,1.314079872,1.334426059
700,1.287723034,1.328078335
800,1.302120607,1.326939764
900,1.25908447,1.318949294
1000,1.276180763,1.314081758
1100,1.300635082,1.313307978
1200,1.288334004,1.316351739
1300,1.304035711,1.308049831
1400,1.280678084,1.307021886
1500,1.305069514,1.313322229
1600,1.285269503,1.305449695
1700,1.270689468,1.303453781
1800,1.297614054,1.301727944
1900,1.279546289,1.30466342
2000,1.2531163,1.301270594
2100,1.299456652,1.301013064
2200,1.287909805,1.30440915
2300,1.268495805,1.298444175
2400,1.282664295,1.296420827
2500,1.296639262,1.296027193
2600,1.302188372,1.293631902
2700,1.27680534,1.291841122
2800,1.292536466,1.293907159
2900,1.254450641,1.292126749
3000,1.251674097,1.29424548
3100,1.2760145,1.292223415
3200,1.284526477,1.292447611
3300,1.261697622,1.291970264
3400,1.236456649,1.292932109
3500,1.242556326,1.291086781
3600,1.255602779,1.289698441
3700,1.258917424,1.289984458
3800,1.257030192,1.287430434
3900,1.254655501,1.289236189
4000,1.279883186,1.287997879
4100,1.262044471,1.28744223
4200,1.257656018,1.288922814
4300,1.26598675,1.286333827
4400,1.265204339,1.287230436
4500,1.291926258,1.285328842
4600,1.247086445,1.285903597
4700,1.26121444,1.284530288
4800,1.257569248,1.286337376
4900,1.246764117,1.286114915
5000,1.234069483,1.284285262
5100,1.276582515,1.283296961
5200,1.27328867,1.285321233
5300,1.269515814,1.282777999
5400,1.24177492,1.282823763
5500,1.238986586,1.282815686
5600,1.266144023,1.283056958
5700,1.239210352,1.28233027
5800,1.270700254,1.283642783
5900,1.264850479,1.282976081
6000,1.248548037,1.282921524
